r (m)	Te (eV)	Ti (eV)	ne (m^-3)	ni (m^-3)	nCI (m^-3)	nCII (m^-3)	nCIII (m^-3)	nCIV (m^-3)	nCV (m^-3)	nCVI (m^-3)	nCVII (m^-3)	n0 (m^-3)	pi (kPa)	p (kPa)
0.159	632.21	241.53	1.919380000E+19	1.545967787E+19	9.289264000E-03	1.905051204E+11	1.748437900E+12	3.993022280E+13	4.306445071E+15	3.451777763E+16	1.525423410E+17	1.848350000E+15	598.2583190453	3.712710000E+00
0.160	631.87	241.44	1.918420000E+19	1.545347113E+19	9.365443000E-03	1.909723614E+11	1.751094856E+12	4.007604154E+13	4.314287346E+15	3.452367176E+16	1.524378179E+17	1.854710000E+15	597.7779644648	3.704480000E+00
0.161	631.52	241.34	1.917450000E+19	1.544722864E+19	9.441898000E-03	1.914413290E+11	1.753762407E+12	4.022274004E+13	4.322269025E+15	3.452971442E+16	1.523325396E+17	1.861120000E+15	597.2946528348	3.696230000E+00
0.162	631.17	241.24	1.916480000E+19	1.544095042E+19	9.518630000E-03	1.919120319E+11	1.756440610E+12	4.037032474E+13	4.330392139E+15	3.453590841E+16	1.522265019E+17	1.867580000E+15	596.8083896551	3.687940000E+00
0.163	630.82	241.14	1.915500000E+19	1.543463647E+19	9.595641000E-03	1.923844785E+11	1.759129522E+12	4.051880213E+13	4.338658739E+15	3.454225654E+16	1.521197006E+17	1.874100000E+15	596.3191796804	3.679630000E+00
0.164	630.47	241.04	1.914520000E+19	1.542828683E+19	9.672932000E-03	1.928586776E+11	1.761829202E+12	4.066817876E+13	4.347070899E+15	3.454876155E+16	1.520121317E+17	1.880680000E+15	595.8270292392	3.671280000E+00
0.165	630.11	240.94	1.913530000E+19	1.542190152E+19	9.750503000E-03	1.933346378E+11	1.764539706E+12	4.081846125E+13	4.355630713E+15	3.455542619E+16	1.519037908E+17	1.887310000E+15	595.3319439140	3.662910000E+00
0.166	629.76	240.84	1.912530000E+19	1.541548055E+19	9.828358000E-03	1.938123679E+11	1.767261093E+12	4.096965625E+13	4.364340296E+15	3.456225312E+16	1.517946738E+17	1.894000000E+15	594.8339289292	3.654500000E+00
0.167	629.40	240.74	1.911530000E+19	1.540902396E+19	9.906496000E-03	1.942918768E+11	1.769993423E+12	4.112177050E+13	4.373201783E+15	3.456924502E+16	1.516847766E+17	1.900740000E+15	594.3329906942	3.646070000E+00
0.168	629.04	240.64	1.910530000E+19	1.540253175E+19	9.984919000E-03	1.947731732E+11	1.772736754E+12	4.127481076E+13	4.382217332E+15	3.457640450E+16	1.515740948E+17	1.907550000E+15	593.8291341027	3.637610000E+00
0.169	628.67	240.53	1.909520000E+19	1.539600395E+19	1.006363000E-02	1.952562662E+11	1.775491146E+12	4.142878388E+13	4.391389122E+15	3.458373415E+16	1.514626245E+17	1.914410000E+15	593.3223652328	3.629120000E+00
0.170	628.31	240.43	1.908500000E+19	1.538944058E+19	1.014262800E-02	1.957411646E+11	1.778256659E+12	4.158369676E+13	4.400719352E+15	3.459123649E+16	1.513503613E+17	1.921320000E+15	592.8126898043	3.620600000E+00
0.171	627.94	240.32	1.907480000E+19	1.538284166E+19	1.022191700E-02	1.962278776E+11	1.781033353E+12	4.173955635E+13	4.410210242E+15	3.459891404E+16	1.512373011E+17	1.928300000E+15	592.3001135643	3.612050000E+00
